PARADA;PARTIDA;BG_COLOR;TXT_COLOR;LINHA;DESTINO;CARRO
01;16:48;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
08;16:49;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
06;16:54;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2076
05;16:55;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2308
08;16:56;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
04;16:57;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
03;17:00;#806000;#FFFFFF;L003/10;VILA RICA;P 2035
02;17:00;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02541
04;17:05;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2037
07;17:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
01;17:04;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
05;17:04;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
08;17:05;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2304
05;17:17;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2309
06;17:18;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2077
01;17:20;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2046
02;17:20;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02542
07;17:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2312
04;17:26;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2038
05;17:26;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2031
01;17:36;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2085
08;17:37;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2047
05;17:39;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2310
03;17:40;#806000;#FFFFFF;L003/10;VILA RICA;P 2036
02;17:40;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02543
07;17:42;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2313
06;17:42;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2078
01;17:44;#92D050;#FFFFFF;L007/42;GENEVE;P 2306
08;17:45;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2041
04;17:47;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2044
02;17:50;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2039
01;17:52;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2083
02;18:00;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);48-02544
05;18:01;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2307
03;18:02;#C65911;#FFFFFF;L005/10;TERM. CACHOEIRINHA;P 2042
07;18:02;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2314
06;18:06;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2079
01;18:08;#FFC000;#000000;L007/10;LAUZANE PAULISTA;P 2045
08;18:08;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2303
05;18:14;#203764;#FFFFFF;L002/10;METRÔ SANTANA;P 2032
04;18:14;#00B0F0;#FFFFFF;L004/10;UBS LADEIRA ROSA (CIRCULAR);P 2040
03;18:20;#806000;#FFFFFF;L003/10;VILA RICA;P 2034
02;18:20;#FFD966;#000000;L42-VP2;ISOLINA MAZZEI (VIA SANTANA);P 2300
07;18:22;#5B9BD5;#FFFFFF;L010/10;JARDIM CECY;P 2311
05;18:23;#525252;#FFFFFF;L008/42;JARDIM CENTENÁRIO (CIRC.);P 2308
01;18:24;#FFC000;#000000;L007/10;LAUZANE PAULISTA;A 2084
08;18:25;#FF0000;#FFFFFF;L007/22;LAUZANE PAULISTA (SEMI EXPRESSO);P 2304
06;18:30;#C00000;#FFFFFF;L009/10;ISOLINA MAZZEI (VIA HORTO);A 2070
01;18:32;#92D050;#FFFFFF;L007/42;GENEVE;P 2305
08;18:36;#000000;#FFFFFF;L29P/10;TERMINAL PINHEIROS;A 1990
04;18:37;#7030A0;#FFFFFF;L006/10;UBS LADEIRA ROSA (EXPRESSO);P 2043
